ano;codigo_escola;escola;endereco_bairro;endereco_logradouro;endereco_numero;rpa;ano_ensino;modalidade_ensino_codigo;serie_codigo;modalidade_ensino;serie;turma;turno;matricula;sexo;idade;situacao_codigo;situacao_nome
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19601158;1;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;20028954;1;5;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19866917;1;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19883790;2;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18613152;2;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19988354;1;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19869134;2;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19655401;1;5;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19869720;2;6;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19859406;1;5;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19601220;1;5;AP;APROVADO
2020;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19866240;1;6;AP;APROVADO
