ano;codigo_escola;escola;endereco_bairro;endereco_logradouro;endereco_numero;rpa;ano_ensino;modalidade_ensino_codigo;serie_codigo;modalidade_ensino;serie;turma;turno;matricula;sexo;idade;situacao_codigo;situacao_nome
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17690811;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;15028380;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18098843;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17049660;2;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18691986;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18630499;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;16603192;2;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17044359;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18805094;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19000596;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19005458;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18629709;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19003633;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;15063879;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19014236;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18630162;2;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18648550;2;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18630790;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18026630;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19013272;1;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18076106;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18815472;2;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18655238;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;18630413;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19009607;2;5;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;19006314;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17616212;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;16674758;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;13312103;1;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17029970;1;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;16635256;1;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17638470;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;16070151;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17073731;1;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;16767969;1;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17696089;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17633273;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17638356;2;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17004403;2;6;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17769590;1;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;18045197;1;7;AP;APROVADO
2019;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1º ANO;1;0;ENSINO FUNDAMENTAL;1º ANO;A;MANHÃ;17633133;2;7;AP;APROVADO
